"Location","0 to 17","18 to 24","25 to 34","35 to 44","45 to 54","55+","Total"
"United States","NaN","NaN","NaN","NaN","36909","NaN","36909"
"Alabama","20","57","88","121","673","247","673"
"Alaska","N/A","31","28","22","143","30","143"
"Arizona","25","100","150","186","1060","380","1060"
"Arkansas","12","47","67","69","422","125","422"
"California","98","320","470","603","3823","NaN","3823"
"Colorado","38","101","138","197","941","271","941"
"Connecticut","N/A","37","40","57","316","94","316"
"Delaware","N/A","10","16","21","107","30","107"
"District of Columbia","N/A","N/A","N/A","N/A","29","N/A","29"
"Florida","40","198","351","515","2858","NaN","2858"
"Georgia","32","100","174","214","1134","352","1134"
"Hawaii","N/A","22","26","30","175","56","175"
"Idaho","N/A","27","36","66","304","91","304"
"Illinois","39","112","186","221","1177","344","1177"
"Indiana","22","93","115","171","828","233","828"
"Iowa","N/A","52","56","67","361","109","361"
"Kansas","N/A","40","68","72","382","115","382"
"Kentucky","16","63","94","110","592","188","592"
"Louisiana","18","43","88","86","490","144","490"
"Maine","N/A","12","19","45","197","67","197"
"Maryland","22","55","92","89","551","160","551"
"Massachusetts","N/A","48","58","120","530","134","530"
"Michigan","39","105","151","210","1169","372","1169"
"Minnesota","25","68","81","97","584","157","584"
"Mississippi","N/A","37","57","79","381","116","381"
"Missouri","26","70","153","158","860","243","860"
"Montana","N/A","33","30","28","219","76","219"
"Nebraska","N/A","24","25","24","170","56","170"
"Nevada","N/A","31","76","89","505","183","505"
"New Hampshire","N/A","19","23","26","166","49","166"
"New Jersey","15","53","86","107","557","158","557"
"New Mexico","13","62","63","54","376","112","376"
"New York","50","141","181","257","1417","445","1417"
"North Carolina","35","104","182","238","1174","353","1174"
"North Dakota","N/A","19","20","19","90","11","90"
"Ohio","51","106","168","227","1176","350","1176"
"Oklahoma","19","54","108","99","567","153","567"
"Oregon","14","48","79","113","644","232","644"
"Pennsylvania","48","137","199","276","1631","557","1631"
"Rhode Island","N/A","10","18","23","118","33","118"
"South Carolina","14","56","91","108","619","219","619"
"South Dakota","14","29","25","18","129","25","129"
"Tennessee","21","96","133","167","947","288","947"
"Texas","97","345","453","505","2809","768","2809"
"Utah","16","55","109","91","449","81","449"
"Vermont","N/A","N/A","11","15","87","42","87"
"Virginia","24","84","130","203","963","293","963"
"Washington","19","100","137","151","921","308","921"
"West Virginia","N/A","25","49","39","253","86","253"
"Wisconsin","28","76","95","142","724","215","724"
"Wyoming","N/A","15","19","24","111","29","111"